"samplename","time","sampletype","stationname","biol","tech","species_name","Nreads","station_num","station_type","model_out_name"
"PvCF_D6_01_TR1","1","PvCF","D6","1",1,"Crangon",0,6,"Diet","1_PvCF_6_1"
"PvCF_D6_02_TR1","1","PvCF","D6","2",1,"Crangon",0,6,"Diet","1_PvCF_6_2"
"PvCF_D6_02_TR2","1","PvCF","D6","2",2,"Crangon",0,6,"Diet","1_PvCF_6_2"
"PvCF_D6_02_TR3","1","PvCF","D6","2",3,"Crangon",0,6,"Diet","1_PvCF_6_2"
"PvCF_D6_03_TR1","1","PvCF","D6","3",1,"Crangon",0,6,"Diet","1_PvCF_6_3"
"PvCF_D6_03_TR2","1","PvCF","D6","3",2,"Crangon",0,6,"Diet","1_PvCF_6_3"
"PvCF_D6_03_TR3","1","PvCF","D6","3",3,"Crangon",0,6,"Diet","1_PvCF_6_3"
"PvCF_D6_04_TR1","1","PvCF","D6","4",1,"Crangon",0,6,"Diet","1_PvCF_6_4"
"PvCF_D6_05_TR1","1","PvCF","D6","5",1,"Crangon",0,6,"Diet","1_PvCF_6_5"
"PvCF_D6_05_TR2","1","PvCF","D6","5",2,"Crangon",0,6,"Diet","1_PvCF_6_5"
"PvCF_D6_05_TR3","1","PvCF","D6","5",3,"Crangon",0,6,"Diet","1_PvCF_6_5"
"PvCF_D6_06_TR1","1","PvCF","D6","6",1,"Crangon",0,6,"Diet","1_PvCF_6_6"
"PvCF_D6_06_TR2","1","PvCF","D6","6",2,"Crangon",0,6,"Diet","1_PvCF_6_6"
"PvCF_D6_06_TR3","1","PvCF","D6","6",3,"Crangon",0,6,"Diet","1_PvCF_6_6"
"PvCF_D6_07_TR1","1","PvCF","D6","7",1,"Crangon",0,6,"Diet","1_PvCF_6_7"
"PvCF_D6_07_TR3","1","PvCF","D6","7",3,"Crangon",0,6,"Diet","1_PvCF_6_7"
"PvCF_D6_08_TR1","1","PvCF","D6","8",1,"Crangon",0,6,"Diet","1_PvCF_6_8"
"PvCF_D6_08_TR2","1","PvCF","D6","8",2,"Crangon",0,6,"Diet","1_PvCF_6_8"
"PvCF_D6_08_TR3","1","PvCF","D6","8",3,"Crangon",0,6,"Diet","1_PvCF_6_8"
"PvCF_D6_09_TR1","1","PvCF","D6","9",1,"Crangon",0,6,"Diet","1_PvCF_6_9"
"PvCF_D6_10_TR1","1","PvCF","D6","10",1,"Crangon",0,6,"Diet","1_PvCF_6_10"
"PvCF_D6_10_TR2","1","PvCF","D6","10",2,"Crangon",0,6,"Diet","1_PvCF_6_10"
