"samplename","time","sampletype","station","biol","tech","species_name","Nreads","station_num","station_type","model_out_name","corrected_prop","median_prop","lower_95","upper_95","sd_prop","total_reads_sample","uncorrected_prop","expected_prop","source","sample_type","sample"
"MC_18S_RepFish_Skew_1_R3",1,"MockCom","RepFish_Skew_1",1,3,"Cephalopoda",1700,2,"MockCom2","1_MockCom_2_1",0.47522451751469,0.475382751347896,0.305933869893817,0.646818212781319,0.0878430648242626,39078,0.0435027381135166,0.182897862232779,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_2_R1",1,"MockCom","RepFish_Skew_2",1,1,"Cephalopoda",2907,3,"MockCom2","1_MockCom_3_1",0.54282886108933,0.545673125289503,0.369888012959396,0.705081478539934,0.0855938539954252,35874,0.0810336176618164,0.206185567010309,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R2",1,"MockCom","RepFish_Skew_2",1,2,"Cephalopoda",1125,3,"MockCom2","1_MockCom_3_1",0.54282886108933,0.545673125289503,0.369888012959396,0.705081478539934,0.0855938539954252,21387,0.0526020479730678,0.206185567010309,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R3",1,"MockCom","RepFish_Skew_2",1,3,"Cephalopoda",1226,3,"MockCom2","1_MockCom_3_1",0.54282886108933,0.545673125289503,0.369888012959396,0.705081478539934,0.0855938539954252,27638,0.0443592155727621,0.206185567010309,"Mock","MockCom2","RepFish_Skew_2"
"PvCF_D1_04_TR1",1,"PvCF","D1",4,1,"Crangon",0,1,"Diet","1_PvCF_1_4",8.48438064808412e-06,3.81550120049314e-06,2.94241378858477e-08,4.35111006173996e-05,1.25764914242069e-05,35435,0,0,"CtrF_Seal1","Diet","PvCF_D1_4"
"PvCF_D1_04_TR1",1,"PvCF","D1",4,1,"Crangon",0,1,"Diet","1_PvCF_1_4",8.48438064808412e-06,3.81550120049314e-06,2.94241378858477e-08,4.35111006173996e-05,1.25764914242069e-05,35435,0,0,"CtrF_Seal2","Diet","PvCF_D1_4"
"PvCF_D1_10_TR1",1,"PvCF","D1",10,1,"Crangon",0,1,"Diet","1_PvCF_1_10",8.60526608171782e-06,3.16579717530613e-06,1.28572646989409e-08,4.97379327316888e-05,1.47615850154369e-05,37449,0,0,"CtrF_Seal1","Diet","PvCF_D1_10"
"PvCF_D1_10_TR1",1,"PvCF","D1",10,1,"Crangon",0,1,"Diet","1_PvCF_1_10",8.60526608171782e-06,3.16579717530613e-06,1.28572646989409e-08,4.97379327316888e-05,1.47615850154369e-05,37449,0,0,"CtrF_Seal2","Diet","PvCF_D1_10"
"PvCF_D1_11_TR1",1,"PvCF","D1",11,1,"Crangon",0,1,"Diet","1_PvCF_1_11",6.53083017995115e-06,2.64895748481999e-06,1.65849156749253e-08,3.61100010933428e-05,1.03619447353259e-05,58326,0,0,"CtrF_Seal1","Diet","PvCF_D1_11"
"PvCF_D1_11_TR1",1,"PvCF","D1",11,1,"Crangon",0,1,"Diet","1_PvCF_1_11",6.53083017995115e-06,2.64895748481999e-06,1.65849156749253e-08,3.61100010933428e-05,1.03619447353259e-05,58326,0,0,"CtrF_Seal2","Diet","PvCF_D1_11"
"PvCF_D1_11_TR2",1,"PvCF","D1",11,2,"Crangon",0,1,"Diet","1_PvCF_1_11",6.53083017995115e-06,2.64895748481999e-06,1.65849156749253e-08,3.61100010933428e-05,1.03619447353259e-05,17118,0,0,"CtrF_Seal1","Diet","PvCF_D1_11"
"PvCF_D1_11_TR2",1,"PvCF","D1",11,2,"Crangon",0,1,"Diet","1_PvCF_1_11",6.53083017995115e-06,2.64895748481999e-06,1.65849156749253e-08,3.61100010933428e-05,1.03619447353259e-05,17118,0,0,"CtrF_Seal2","Diet","PvCF_D1_11"
"PvCF_D1_11_TR3",1,"PvCF","D1",11,3,"Crangon",0,1,"Diet","1_PvCF_1_11",6.53083017995115e-06,2.64895748481999e-06,1.65849156749253e-08,3.61100010933428e-05,1.03619447353259e-05,89457,0,0,"CtrF_Seal1","Diet","PvCF_D1_11"
"PvCF_D1_11_TR3",1,"PvCF","D1",11,3,"Crangon",0,1,"Diet","1_PvCF_1_11",6.53083017995115e-06,2.64895748481999e-06,1.65849156749253e-08,3.61100010933428e-05,1.03619447353259e-05,89457,0,0,"CtrF_Seal2","Diet","PvCF_D1_11"
"PvCF_D1_13_TR1",1,"PvCF","D1",13,1,"Crangon",0,1,"Diet","1_PvCF_1_13",3.60292366673567e-06,1.45125004914508e-06,9.26455797583941e-09,1.97318887873612e-05,5.71588071799828e-06,62923,0,0,"CtrF_Seal1","Diet","PvCF_D1_13"
"PvCF_D1_13_TR1",1,"PvCF","D1",13,1,"Crangon",0,1,"Diet","1_PvCF_1_13",3.60292366673567e-06,1.45125004914508e-06,9.26455797583941e-09,1.97318887873612e-05,5.71588071799828e-06,62923,0,0,"CtrF_Seal2","Diet","PvCF_D1_13"
"PvCF_D1_13_TR2",1,"PvCF","D1",13,2,"Crangon",0,1,"Diet","1_PvCF_1_13",3.60292366673567e-06,1.45125004914508e-06,9.26455797583941e-09,1.97318887873612e-05,5.71588071799828e-06,15539,0,0,"CtrF_Seal1","Diet","PvCF_D1_13"
"PvCF_D1_13_TR2",1,"PvCF","D1",13,2,"Crangon",0,1,"Diet","1_PvCF_1_13",3.60292366673567e-06,1.45125004914508e-06,9.26455797583941e-09,1.97318887873612e-05,5.71588071799828e-06,15539,0,0,"CtrF_Seal2","Diet","PvCF_D1_13"
"PvCF_D1_13_TR3",1,"PvCF","D1",13,3,"Crangon",0,1,"Diet","1_PvCF_1_13",3.60292366673567e-06,1.45125004914508e-06,9.26455797583941e-09,1.97318887873612e-05,5.71588071799828e-06,42939,0,0,"CtrF_Seal1","Diet","PvCF_D1_13"
"PvCF_D1_13_TR3",1,"PvCF","D1",13,3,"Crangon",0,1,"Diet","1_PvCF_1_13",3.60292366673567e-06,1.45125004914508e-06,9.26455797583941e-09,1.97318887873612e-05,5.71588071799828e-06,42939,0,0,"CtrF_Seal2","Diet","PvCF_D1_13"
"PvCF_D1_14_TR1",1,"PvCF","D1",14,1,"Crangon",0,1,"Diet","1_PvCF_1_14",1.37783213635257e-05,4.95379670211813e-06,2.01304800054341e-08,8.01858805412212e-05,2.33433759097245e-05,28338,0,0,"CtrF_Seal1","Diet","PvCF_D1_14"
"PvCF_D1_14_TR1",1,"PvCF","D1",14,1,"Crangon",0,1,"Diet","1_PvCF_1_14",1.37783213635257e-05,4.95379670211813e-06,2.01304800054341e-08,8.01858805412212e-05,2.33433759097245e-05,28338,0,0,"CtrF_Seal2","Diet","PvCF_D1_14"
