diet,date,seal_id,diet_sp,expected_prop,actual_mass,total_mass
D5,20241128,Jessica,herring,0.3,1.17,3.91
D5,20241128,Jessica,capelin,0,0,3.91
D5,20241128,Jessica,salmon_2,0.05,0.2,3.91
D5,20241128,Jessica,squid,0.15,0.59,3.91
D5,20241128,Jessica,prawn,0.1,0.39,3.91
D5,20241128,Jessica,hake,0.4,1.56,3.91
D5,20241128,Pym,herring,0.3,0.93,3.11
D5,20241128,Pym,capelin,0,0,3.11
D5,20241128,Pym,salmon_2,0.05,0.16,3.11
D5,20241128,Pym,squid,0.15,0.47,3.11
D5,20241128,Pym,prawn,0.1,0.31,3.11
D5,20241128,Pym,hake,0.4,1.24,3.11
D5,20241129,Jessica,herring,0.3,1.08,3.6
D5,20241129,Jessica,capelin,0,0,3.6
D5,20241129,Jessica,salmon_2,0.05,0.18,3.6
D5,20241129,Jessica,squid,0.15,0.54,3.6
D5,20241129,Jessica,prawn,0.1,0.36,3.6
D5,20241129,Jessica,hake,0.4,1.44,3.6
D5,20241129,Pym,herring,0.3,0.84,2.8
D5,20241129,Pym,capelin,0,0,2.8
D5,20241129,Pym,salmon_2,0.05,0.14,2.8
D5,20241129,Pym,squid,0.15,0.42,2.8
D5,20241129,Pym,prawn,0.1,0.28,2.8
D5,20241129,Pym,hake,0.4,1.12,2.8
D5,20241130,Jessica,herring,0.3,1.08,3.6
D5,20241130,Jessica,capelin,0,0,3.6
D5,20241130,Jessica,salmon_2,0.05,0.18,3.6
D5,20241130,Jessica,squid,0.15,0.54,3.6
D5,20241130,Jessica,prawn,0.1,0.36,3.6
D5,20241130,Jessica,hake,0.4,1.44,3.6
D5,20241130,Pym,herring,0.3,0.84,2.8
D5,20241130,Pym,capelin,0,0,2.8
D5,20241130,Pym,salmon_2,0.05,0.14,2.8
D5,20241130,Pym,squid,0.15,0.42,2.8
D5,20241130,Pym,prawn,0.1,0.28,2.8
D5,20241130,Pym,hake,0.4,1.12,2.8
D5,20241201,Jessica,herring,0.3,1.08,3.6
D5,20241201,Jessica,capelin,0,0,3.6
D5,20241201,Jessica,salmon_2,0.05,0.18,3.6
D5,20241201,Jessica,squid,0.15,0.54,3.6
D5,20241201,Jessica,prawn,0.1,0.36,3.6
D5,20241201,Jessica,hake,0.4,1.44,3.6
D5,20241201,Pym,herring,0.3,0.84,2.8
D5,20241201,Pym,capelin,0,0,2.8
D5,20241201,Pym,salmon_2,0.05,0.14,2.8
D5,20241201,Pym,squid,0.15,0.42,2.8
D5,20241201,Pym,prawn,0.1,0.28,2.8
D5,20241201,Pym,hake,0.4,1.12,2.8
D6,20241210,Jessica,herring,0.05,0.18,3.6
D6,20241210,Jessica,capelin,0.1,0.36,3.6
D6,20241210,Jessica,salmon_2,0.4,1.44,3.6
D6,20241210,Jessica,squid,0.2,0.72,3.6
D6,20241210,Jessica,prawn,0,0,3.6
D6,20241210,Jessica,hake,0.25,0.9,3.6
D6,20241210,Pym,herring,0.05,0.14,2.8
D6,20241210,Pym,capelin,0.1,0.28,2.8
D6,20241210,Pym,salmon_2,0.4,1.12,2.8
D6,20241210,Pym,squid,0.2,0.56,2.8
D6,20241210,Pym,prawn,0,0,2.8
D6,20241210,Pym,hake,0.25,0.7,2.8
D6,20241211,Jessica,herring,0.05,0.18,3.6
D6,20241211,Jessica,capelin,0.1,0.36,3.6
D6,20241211,Jessica,salmon_2,0.4,1.44,3.6
D6,20241211,Jessica,squid,0.2,0.72,3.6
D6,20241211,Jessica,prawn,0,0,3.6
D6,20241211,Jessica,hake,0.25,0.9,3.6
D6,20241211,Pym,herring,0.05,0.14,2.8
D6,20241211,Pym,capelin,0.1,0.28,2.8
D6,20241211,Pym,salmon_2,0.4,1.12,2.8
D6,20241211,Pym,squid,0.2,0.56,2.8
D6,20241211,Pym,prawn,0,0,2.8
D6,20241211,Pym,hake,0.25,0.7,2.8
D6,20241212,Jessica,herring,0.05,0.2,4
D6,20241212,Jessica,capelin,0.1,0.4,4
D6,20241212,Jessica,salmon_2,0.4,1.6,4
D6,20241212,Jessica,squid,0.2,0.8,4
D6,20241212,Jessica,prawn,0,0,4
D6,20241212,Jessica,hake,0.25,1,4
D6,20241212,Pym,herring,0.05,0.15,3
D6,20241212,Pym,capelin,0.1,0.3,3
D6,20241212,Pym,salmon_2,0.4,1.2,3
D6,20241212,Pym,squid,0.2,0.6,3
D6,20241212,Pym,prawn,0,0,3
D6,20241212,Pym,hake,0.25,0.75,3
D6,20241213,Jessica,herring,0.05,0.2,4
D6,20241213,Jessica,capelin,0.1,0.4,4
D6,20241213,Jessica,salmon_2,0.4,1.6,4
D6,20241213,Jessica,squid,0.2,0.8,4
D6,20241213,Jessica,prawn,0,0,4
D6,20241213,Jessica,hake,0.25,1,4
D6,20241213,Pym,herring,0.05,0.15,3
D6,20241213,Pym,capelin,0.1,0.3,3
D6,20241213,Pym,salmon_2,0.4,1.2,3
D6,20241213,Pym,squid,0.2,0.6,3
D6,20241213,Pym,prawn,0,0,3
D6,20241213,Pym,hake,0.25,0.75,3
D6,20241214,Jessica,herring,0.05,0.2,4
D6,20241214,Jessica,capelin,0.1,0.4,4
D6,20241214,Jessica,salmon_2,0.4,1.6,4
D6,20241214,Jessica,squid,0.2,0.8,4
D6,20241214,Jessica,prawn,0,0,4
D6,20241214,Jessica,hake,0.25,1,4
D6,20241214,Pym,herring,0.05,0.15,3
D6,20241214,Pym,capelin,0.1,0.3,3
D6,20241214,Pym,salmon_2,0.4,1.2,3
D6,20241214,Pym,squid,0.2,0.6,3
D6,20241214,Pym,prawn,0,0,3
D6,20241214,Pym,hake,0.25,0.75,3
D6,20241215,Jessica,herring,0.05,0.2,4
D6,20241215,Jessica,capelin,0.1,0.4,4
D6,20241215,Jessica,salmon_2,0.4,1.6,4
D6,20241215,Jessica,squid,0.2,0.8,4
D6,20241215,Jessica,prawn,0,0,4
D6,20241215,Jessica,hake,0.25,1,4
D6,20241215,Pym,herring,0.05,0.15,3
D6,20241215,Pym,capelin,0.1,0.3,3
D6,20241215,Pym,salmon_2,0.4,1.2,3
D6,20241215,Pym,squid,0.2,0.6,3
D6,20241215,Pym,prawn,0,0,3
D6,20241215,Pym,hake,0.25,0.75,3
D6,20241216,Jessica,herring,0.05,0.2,4
D6,20241216,Jessica,capelin,0.1,0.4,4
D6,20241216,Jessica,salmon_2,0.4,1.6,4
D6,20241216,Jessica,squid,0.2,0.8,4
D6,20241216,Jessica,prawn,0,0,4
D6,20241216,Jessica,hake,0.25,1,4
D6,20241216,Pym,herring,0.05,0.15,3
D6,20241216,Pym,capelin,0.1,0.3,3
D6,20241216,Pym,salmon_2,0.4,1.2,3
D6,20241216,Pym,squid,0.2,0.6,3
D6,20241216,Pym,prawn,0,0,3
=======,,,,,,
diet,date,seal_id,diet_sp,expected_prop,actual mass,total_mass
D1,20240501,DaVinci,herring,0.6,1.92,3.21
