Sample_ID,sampleid,year
Pv18-1391,18QY0410,2018
Pv18-1392,18QY0411,2018
Pv18-1393,18QY0412,2018
Pv18-1394,18QY0413,2018
Pv18-1395,18QY0414,2018
Pv18-1396,18QY0415,2018
Pv18-1397,18QY0416,2018
Pv18-1398,18QY0417,2018
Pv18-1399,18QY0418,2018
Pv18-1400,18QY0419,2018
Pv18-1401,18QY0420,2018
Pv18-1402,18QY0421,2018
Pv18-1403,18QY0422,2018
Pv18-1404,18QY0423,2018
Pv18-1405,18QY0424,2018
Pv18-1406,18QY0425,2018
Pv18-1407,18QY0426,2018
Pv18-1408,18QY0427,2018
Pv18-1409,18QY0428,2018
Pv18-1410,18QY0429,2018
Pv18-1411,18QY0430,2018
Pv18-1412,18QY0431,2018
Pv18-1413,18QY0432,2018
