sampleid	well_position	project
PV18_602_A	C-F04	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_607_A	C-G04	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_608_A	C-H04	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_609_A	C-A05	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_611_A	C-B05	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_614_A	C-C05	HarborSealScat_HS_5-6_SPID.0185-0186
PV18_616A	C-D05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_617_A	C-E05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_618_A	C-F05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_619_A	C-G05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_620_A	C-H05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_621_A	C-A06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_622_A	C-B06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_623_A	C-C06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_624_A	C-D06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_625_A	C-E06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_626_A	C-F06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_627_A	C-G06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_628_A	C-H06	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_629_A	C-A07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_630_A	C-B07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_631_A	C-C07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_632_A	C-D07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_633_A	C-E07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_634_A	C-F07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_635_A	C-G07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_636_A	C-H07	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_637_A	C-A08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_638_A	C-B08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_639_A	C-C08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_640_A	C-D08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_642_A	C-E08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_643_A	C-F08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_644_A	C-G08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_645_A	C-H08	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_646_A	C-A09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_647_A	C-B09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_648_A	C-C09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_649_A	C-D09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_650_A	C-E09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_651_A	C-F09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_652_A	C-G09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_653_A	C-H09	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_654_A	C-A10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_655_A	C-B10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_656_A	C-C10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_657_A	C-D10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_658_A	C-E10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_659_A	C-F10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_660_A	C-G10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_661_A	C-H10	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_662_A	C-A11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_663_A	C-B11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_664_A	C-C11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_665_A	C-D11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_666_A	C-E11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_667_A	C-F11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_668A	C-G11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_669_A	C-H11	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_670_A	C-A12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_671_A	C-B12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_672_A	C-C12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_673_A	C-D12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_674_A_1	C-E12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_674_A_2	C-F12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_674_A_3	C-G12	HarborSealScat_HS_5-6_SPID.0185-0186
Kang_SPID.0185	C-H12	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_675_A	D-A01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_676_A	D-B01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_677_A	D-C01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_678_A	D-D01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_679_A	D-E01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_680_A	D-F01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_681_A	D-G01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_682_A	D-H01	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_683_A	D-A02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_684_A	D-B02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_685_A	D-C02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_686_A	D-D02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_687_A	D-E02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_688_A	D-F02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_689_A	D-G02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_690_A	D-H02	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_691_A	D-A03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_692_A	D-B03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_693_A	D-C03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_694_A	D-D03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_695_A	D-E03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_696_A	D-F03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_697_A	D-G03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_698_A	D-H03	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_699_A	D-A04	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_700_A	D-B04	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_701_A	D-C04	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_702_A	D-D04	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_703_A	D-E04	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_704_A	D-F04	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_705_A	D-G04	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_706_A	D-H04	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_707_A	D-A05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_708_A	D-B05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_709_A	D-C05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_710_A	D-D05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_711_A	D-E05	HarborSealScat_HS_5-6_SPID.0185-0186
Pv18_712_A	D-F05	HarborSealScat_HS_5-6_SPID.0185-0186
