SampleID,Date,Time,Diet,Seal_ID_1,Seal_ID_2,Scat_details,Tech_rep,PCR_ID
PvCF_D5_02,20241127,9:55,5,Jessica,Pym,Deck,1,PvCF_D5_02_TR1
PvCF_D5_02,20241127,9:55,5,Jessica,Pym,Deck,2,PvCF_D5_02_TR2
PvCF_D5_02,20241127,9:55,5,Jessica,Pym,Deck,3,PvCF_D5_02_TR3
PvCF_D5_03,20241127,12:15,5,Jessica,Pym,Pool,1,PvCF_D5_03_TR1
PvCF_D5_03,20241127,12:15,5,Jessica,Pym,Pool,2,PvCF_D5_03_TR2
PvCF_D5_03,20241127,12:15,5,Jessica,Pym,Pool,3,PvCF_D5_03_TR3
PvCF_D5_04,20241127,14:00,5,Jessica,Pym,Deck,1,PvCF_D5_04_TR1
PvCF_D5_04,20241127,14:00,5,Jessica,Pym,Deck,2,PvCF_D5_04_TR2
PvCF_D5_04,20241127,14:00,5,Jessica,Pym,Deck,3,PvCF_D5_04_TR3
PvCF_D5_05,20241128,9:15,5,Jessica,Pym,Deck,1,PvCF_D5_05_TR1
PvCF_D5_05,20241128,9:15,5,Jessica,Pym,Deck,2,PvCF_D5_05_TR2
PvCF_D5_05,20241128,9:15,5,Jessica,Pym,Deck,3,PvCF_D5_05_TR3
PvCF_D5_06,20241128,12:00,5,Jessica,Pym,Pool,1,PvCF_D5_06_TR1
PvCF_D5_06,20241128,12:00,5,Jessica,Pym,Pool,2,PvCF_D5_06_TR2
PvCF_D5_06,20241128,12:00,5,Jessica,Pym,Pool,3,PvCF_D5_06_TR3
PvCF_D5_07,20241128,14:00,5,Jessica,Pym,Deck,1,PvCF_D5_07_TR1
PvCF_D5_07,20241128,14:00,5,Jessica,Pym,Deck,2,PvCF_D5_07_TR2
PvCF_D5_07,20241128,14:00,5,Jessica,Pym,Deck,3,PvCF_D5_07_TR3
PvCF_D5_08,20241129,8:42,5,Jessica,Pym,Deck,1,PvCF_D5_08_TR1
PvCF_D5_08,20241129,8:42,5,Jessica,Pym,Deck,2,PvCF_D5_08_TR2
PvCF_D5_08,20241129,8:42,5,Jessica,Pym,Deck,3,PvCF_D5_08_TR3
PvCF_D5_09,20241129,9:20,5,Jessica,Pym,Deck,1,PvCF_D5_09_TR1
PvCF_D5_09,20241129,9:20,5,Jessica,Pym,Deck,2,PvCF_D5_09_TR2
PvCF_D5_09,20241129,9:20,5,Jessica,Pym,Deck,3,PvCF_D5_09_TR3
PvCF_D5_10,20241130,12:00,5,Jessica,Pym,Pool,1,PvCF_D5_10_TR1
PvCF_D5_10,20241130,12:00,5,Jessica,Pym,Pool,2,PvCF_D5_10_TR2
PvCF_D5_10,20241130,12:00,5,Jessica,Pym,Pool,3,PvCF_D5_10_TR3
PvCF_D5_11,20241130,13:29,5,Jessica,Pym,Deck,1,PvCF_D5_11_TR1
PvCF_D5_11,20241130,13:29,5,Jessica,Pym,Deck,2,PvCF_D5_11_TR2
PvCF_D5_11,20241130,13:29,5,Jessica,Pym,Deck,3,PvCF_D5_11_TR3
PvCF_D5_12,20241201,10:00,5,Jessica,Pym,Deck,1,PvCF_D5_12_TR1
PvCF_D5_12,20241201,10:00,5,Jessica,Pym,Deck,2,PvCF_D5_12_TR2
PvCF_D5_12,20241201,10:00,5,Jessica,Pym,Deck,3,PvCF_D5_12_TR3
PvCF_D5_13,20241201,12:15,5,Jessica,Pym,Pool,1,PvCF_D5_13_TR1
PvCF_D5_13,20241201,12:15,5,Jessica,Pym,Pool,2,PvCF_D5_13_TR2
PvCF_D5_13,20241201,12:15,5,Jessica,Pym,Pool,3,PvCF_D5_13_TR3
PvCF_D5_14,20241202,8:30,5,Jessica,Pym,Deck,1,PvCF_D5_14_TR1
PvCF_D5_14,20241202,8:30,5,Jessica,Pym,Deck,2,PvCF_D5_14_TR2
PvCF_D5_14,20241202,8:30,5,Jessica,Pym,Deck,3,PvCF_D5_14_TR3
PvCF_D5_15,20241202,9:30,5,Jessica,Pym,Pool,1,PvCF_D5_15_TR1
PvCF_D5_15,20241202,9:30,5,Jessica,Pym,Pool,2,PvCF_D5_15_TR2
PvCF_D5_15,20241202,9:30,5,Jessica,Pym,Pool,3,PvCF_D5_15_TR3
PvCF_D5_16,20241202,9:30,5,Jessica,Pym,Pool,1,PvCF_D5_16_TR1
PvCF_D5_16,20241202,9:30,5,Jessica,Pym,Pool,2,PvCF_D5_16_TR2
PvCF_D5_16,20241202,9:30,5,Jessica,Pym,Pool,3,PvCF_D5_16_TR3
PvCF_D6_01,20241210,10:58,6,Jessica,Pym,Pool,1,PvCF_D6_01_TR1
PvCF_D6_01,20241210,10:58,6,Jessica,Pym,Pool,2,PvCF_D6_01_TR2
PvCF_D6_01,20241210,10:58,6,Jessica,Pym,Pool,3,PvCF_D6_01_TR3
PvCF_D6_02,20241210,13:13,6,Jessica,Pym,Pool,1,PvCF_D6_02_TR1
PvCF_D6_02,20241210,13:13,6,Jessica,Pym,Pool,2,PvCF_D6_02_TR2
PvCF_D6_02,20241210,13:13,6,Jessica,Pym,Pool,3,PvCF_D6_02_TR3
PvCF_D6_03,20241211,9:57,6,Jessica,Pym,Deck,1,PvCF_D6_03_TR1
